year,ADM1_NAME,ADM2_NAME,Stability_Zone,irrigation_type,Yield_kg_ha,Area_Sleikh,Area_Total,Production,Shape_Area,Shape_Leng,annual_rain_mm,aridity_index,aspect_deg,bulk_dens,cec_cmol_kg,clay_pct,cropland,elevation_m,et_mm,gdd_annual,grassland,gwt_depth_m,max_temp_c,mean_temp_c,min_temp_c,moisture_pct,ndvi_peak,ndvi_std,pet_mm,ph,ph_quality,rain_cv_pct,rainy_days,rainy_rain_mm,sand_pct,silt_pct,slope_deg,soc_g_kg,thermal_suit,water_occurrence,yield_original,district_irrigation_ratio,irrigation_advantage_pct
2004,Aleppo,Jarablus,2,1,2447.103275,794.0,794.0,1943.0,0.056313267,1.389591551,773.1243408,21.46206858,123.911363,1.374076188,31.59740814,433.9335195,1.0,453.0262094,430.4851015,12744.43247,1.0,19.54434174,31.57849837,17.70060065,4.657554645,11.9561035,0.5211062,0.120310253,3601.2825,7.473535251,84.21549162,96.63975041,93.97130007,395.3812805,151.8135123,395.6820817,0.731704106,17.89025411,98.85371056,86.86344794,,0.7857142857142857,198.46866309496943
2004,Aleppo,Jebel_Saman,1,0,6767.004466,11644.0,11644.0,78795.0,0.320135248,3.90953411,826.5507606,23.85379342,185.7492815,1.399045613,26.85095306,367.0160671,1.0,348.6130778,509.4159087,12833.21129,1.0,24.0041333,29.12980012,17.82390457,5.763825072,14.69717461,0.511132177,0.105151362,3464.070507,7.511498758,82.95004141,98.56663565,91.64755569,374.181011,183.2856532,401.209007,0.780531933,17.98196178,98.14911672,28.18423019,6767.004466,0.5753424657534246,149.38949351627133
2004,Aleppo,Jebel_Saman,2,0,2031.948215,9578.0,9578.0,19462.0,0.320135248,3.90953411,826.5507606,23.85379342,185.7492815,1.399045613,26.85095306,367.0160671,1.0,348.6130778,509.4159087,12833.21129,1.0,24.0041333,29.12980012,17.82390457,5.763825072,14.69717461,0.511132177,0.105151362,3464.070507,7.511498758,82.95004141,98.56663565,91.64755569,374.181011,183.2856532,401.209007,0.780531933,17.98196178,98.14911672,28.18423019,2031.948215,0.5753424657534246,149.38949351627133
2004,Aleppo,Jebel_Saman,3,0,639.4289934,4063.0,4063.0,2598.0,0.320135248,3.90953411,826.5507606,23.85379342,185.7492815,1.399045613,26.85095306,367.0160671,1.0,348.6130778,509.4159087,12833.21129,1.0,24.0041333,29.12980012,17.82390457,5.763825072,14.69717461,0.511132177,0.105151362,3464.070507,7.511498758,82.95004141,98.56663565,91.64755569,374.181011,183.2856532,401.209007,0.780531933,17.98196178,98.14911672,28.18423019,639.4289934,0.5753424657534246,149.38949351627133
2004,Aleppo,Jebel_Saman,1,1,4786.7884,3724.0,3724.0,17826.0,0.320135248,3.90953411,826.5507606,23.85379342,185.7492815,1.399045613,26.85095306,367.0160671,1.0,348.6130778,509.4159087,12833.21129,1.0,24.0041333,29.12980012,17.82390457,5.763825072,14.69717461,0.511132177,0.105151362,3464.070507,7.511498758,82.95004141,98.56663565,91.64755569,374.181011,183.2856532,401.209007,0.780531933,17.98196178,98.14911672,28.18423019,,0.5753424657534246,149.38949351627133
2004,Aleppo,Jebel_Saman,2,1,4768.021359,16855.0,16855.0,80365.0,0.320135248,3.90953411,826.5507606,23.85379342,185.7492815,1.399045613,26.85095306,367.0160671,1.0,348.6130778,509.4159087,12833.21129,1.0,24.0041333,29.12980012,17.82390457,5.763825072,14.69717461,0.511132177,0.105151362,3464.070507,7.511498758,82.95004141,98.56663565,91.64755569,374.181011,183.2856532,401.209007,0.780531933,17.98196178,98.14911672,28.18423019,,0.5753424657534246,149.38949351627133
2004,Aleppo,Jebel_Saman,3,1,3459.760956,2510.0,2510.0,8684.0,0.320135248,3.90953411,826.5507606,23.85379342,185.7492815,1.399045613,26.85095306,367.0160671,1.0,348.6130778,509.4159087,12833.21129,1.0,24.0041333,29.12980012,17.82390457,5.763825072,14.69717461,0.511132177,0.105151362,3464.070507,7.511498758,82.95004141,98.56663565,91.64755569,374.181011,183.2856532,401.209007,0.780531933,17.98196178,98.14911672,28.18423019,,0.5753424657534246,149.38949351627133
2004,Aleppo,Jebel_Saman,4,1,3669.99003,1003.0,1003.0,3681.0,0.320135248,3.90953411,826.5507606,23.85379342,185.7492815,1.399045613,26.85095306,367.0160671,1.0,348.6130778,509.4159087,12833.21129,1.0,24.0041333,29.12980012,17.82390457,5.763825072,14.69717461,0.511132177,0.105151362,3464.070507,7.511498758,82.95004141,98.56663565,91.64755569,374.181011,183.2856532,401.209007,0.780531933,17.98196178,98.14911672,28.18423019,,0.5753424657534246,149.38949351627133
2004,Aleppo,Menbij,2,1,4799.519808,833.0,833.0,3998.0,0.476099108,4.018173677,526.3073967,14.58861708,173.279788,1.406754586,24.018397,332.4689528,1.0,397.1956572,423.0331693,13128.65303,1.0,17.60715977,30.57663824,18.23424031,5.59956174,11.73174705,0.452788836,0.098308579,3606.6579,7.618434657,79.38551142,90.89114713,88.31711405,267.2592926,198.2878033,437.4207931,0.49517755,12.11218955,95.80434107,92.68040719,,0.8888888888888888,310.6973295851852
2004,Aleppo,Menbij,3,1,4940.0,500.0,500.0,2470.0,0.476099108,4.018173677,526.3073967,14.58861708,173.279788,1.406754586,24.018397,332.4689528,1.0,397.1956572,423.0331693,13128.65303,1.0,17.60715977,30.57663824,18.23424031,5.59956174,11.73174705,0.452788836,0.098308579,3606.6579,7.618434657,79.38551142,90.89114713,88.31711405,267.2592926,198.2878033,437.4207931,0.49517755,12.11218955,95.80434107,92.68040719,,0.8888888888888888,310.6973295851852
